0.92,0.91,0.87,0.79,0.55,0.25,,1.112,1.11,1.058,0.902,0.412,-0.184
0.87,0.86,0.82,0.74,0.5,0.2,,1.062,1.062,1.028,0.896,0.414,-0.196
0.59,0.58,0.53,0.45,0.21,-0.12,,0.434,0.412,0.312,0.16,-0.208,-0.648
-0.24,-0.25,-0.29,-0.34,-0.5,-0.76,,-1.404,-1.424,-1.492,-1.568,-1.732,-1.946
-3.85,-3.84,-3.81,-3.78,-3.78,-3.83,,-6.512,-6.518,-6.546,-6.556,-6.504,-6.372
-6.74,-6.72,-6.62,-6.52,-6.42,-6.42,,-11.174,-11.152,-11.06,-10.962,-10.854,-10.854
,,,,,,,,,,,,
1.17,1.13,0.95,0.69,0.19,-0.4,,,,,,,
1.34,1.31,1.15,0.87,0.28,-0.31,,,,,,,
1.41,1.4,1.29,1.07,0.4,-0.32,,,,,,,
-1.33,-1.32,-1.28,-1.22,-1.22,-1.58,,,,,,,
-4.45,-4.43,-4.38,-4.32,-4.23,-4.18,,,,,,,
-7.4,-7.35,-7.19,-7.03,-6.82,-6.78,,,,,,,
,,,,,,,,,,,,
0.21,0.22,0.23,0.23,0.15,-0.04,,,,,,,
0.17,0.17,0.16,0.13,0.03,-0.16,,,,,,,
0.11,0.08,-0.06,-0.27,-0.77,-1.28,,,,,,,
-3.1,-3.09,-3,-2.87,-2.57,-2.28,,,,,,,
-9.17,-9.19,-9.29,-9.39,-9.54,-9.65,,,,,,,
-15.33,-15.39,-15.63,-15.91,-16.4,-16.72,,,,,,,
,,,,,,,,,,,,
3,2.99,2.91,2.73,2.2,1.55,,,,,,,
3.04,3.01,2.86,2.61,2.02,1.36,,,,,,,
1.66,1.62,1.46,1.24,0.8,0.37,,,,,,,
-0.76,-0.77,-0.78,-0.78,-0.73,-0.62,,,,,,,
-5.38,-5.36,-5.25,-5.05,-4.46,-3.7,,,,,,,
-10.87,-10.84,-10.7,-10.52,-10.18,-9.84,,,,,,,
,,,,,,,,,,,,
0.26,0.3,0.33,0.07,-1.03,-2.28,,,,,,,
-0.11,-0.04,0.15,0.13,-0.76,-2.07,,,,,,,
-1.6,-1.62,-1.66,-1.69,-1.68,-1.89,,,,,,,
-1.59,-1.69,-2.11,-2.63,-3.64,-4.49,,,,,,,
-9.71,-9.77,-10,-10.24,-10.51,-10.5,,,,,,,
-15.53,-15.46,-15.16,-14.83,-14.45,-14.51,,,,,,,
